URL_PollutionReport_RSSFeed,BeachName
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Hayes%20Street%20Beach", Hayes Street Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Little%20Manly%20Cove", Little Manly Cove
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Manly%20Cove", Manly Cove
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Murray%20Rose%20Pool", Murray Rose Pool
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Nielsen%20Park", Nielsen Park
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Northbridge%20Baths", Northbridge Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Parsley%20Bay", Parsley Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Rose%20Bay%20Beach", Rose Bay Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Tambourine%20Bay", Tambourine Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Watsons%20Bay", Watsons Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Woodford%20Bay", Woodford Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FSydneyBulletin.xml&amp;title=Woolwich%20Baths", Woolwich Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Avalon%20Beach", Avalon Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Bilgola%20Beach", Bilgola Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Birdwood%20Park", Birdwood Park
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Boat%20Harbour", Boat Harbour
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Bondi%20Beach", Bondi Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Bronte%20Beach", Bronte Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Bungan%20Beach", Bungan Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Clovelly%20Beach", Clovelly Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Collaroy%20Beach", Collaroy Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Coogee%20Beach", Coogee Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Dee%20Why%20Beach", Dee Why Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Elouera%20Beach", Elouera Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Freshwater%20Beach", Freshwater Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Gordons%20Bay%20(East)", Gordons Bay (East)
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Greenhills%20Beach", Greenhills Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Little%20Bay%20Beach", Little Bay Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Long%20Reef%20Beach", Long Reef Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Malabar%20Beach", Malabar Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Maroubra%20Beach", Maroubra Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Mona%20Vale%20Beach", Mona Vale Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Newport%20Beach", Newport Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=North%20Cronulla%20Beach", North Cronulla Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=North%20Curl%20Curl%20Beach", North Curl Curl Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=North%20Narrabeen%20Beach", North Narrabeen Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=North%20Steyne%20Beach", North Steyne Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Oak%20Park", Oak Park
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Palm%20Beach", Palm Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Queenscliff%20Beach", Queenscliff Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Shelly%20Beach%20(Manly)", Shelly Beach (Manly)
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Shelly%20Beach%20(Sutherland)", Shelly Beach (Sutherland)
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=South%20Cronulla%20Beach", South Cronulla Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=South%20Curl%20Curl%20Beach", South Curl Curl Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=South%20Steyne%20Beach", South Steyne Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Tamarama%20Beach", Tamarama Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Turimetta%20Beach", Turimetta Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Wanda%20Beach", Wanda Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Warriewood%20Beach", Warriewood Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FOceanBulletin.xml&amp;title=Whale%20Beach", Whale Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=Barrenjoey%20Beach", Barrenjoey Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=Bayview%20Baths", Bayview Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=Clareville%20Beach", Clareville Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=Elvina%20Bay", Elvina Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=Great%20Mackerel%20Beach", Great Mackerel Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=North%20Scotland%20Island", North Scotland Island
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=Paradise%20Beach%20Baths", Paradise Beach Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=South%20Scotland%20Island", South Scotland Island
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=Taylors%20Point%20Baths", Taylors Point Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FPittwaterBulletin.xml&amp;title=The%20Basin", The Basin
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Brighton%20Le%20Sands%20Baths", Brighton Le Sands Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Carss%20Point%20Baths", Carss Point Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Como%20Baths", Como Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Congwong%20Bay", Congwong Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Dolls%20Point%20Baths", Dolls Point Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Foreshores%20Beach", Foreshores Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Frenchmans%20Bay", Frenchmans Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Gunnamatta%20Bay%20Baths", Gunnamatta Bay Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Gymea%20Bay%20Baths", Gymea Bay Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Horderns%20Beach", Horderns Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Jew%20Fish%20Bay%20Baths", Jew Fish Bay Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Jibbon%20Beach", Jibbon Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Kyeemagh%20Baths", Kyeemagh Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Lilli%20Pilli%20Baths", Lilli Pilli Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Monterey%20Baths", Monterey Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Oatley%20Bay%20Baths", Oatley Bay Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Ramsgate%20Baths", Ramsgate Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Sandringham%20Baths", Sandringham Baths
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Silver%20Beach", Silver Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FBotanyBulletin.xml&amp;title=Yarra%20Bay", Yarra Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Austinmer%20Beach", Austinmer Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Bellambi%20Beach", Bellambi Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Bombo%20Beach", Bombo Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Boyds%20Jones%20Beach", Boyds Jones Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Bulli%20Beach", Bulli Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Coledale%20Beach", Coledale Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Coniston%20Beach", Coniston Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Corrimal%20Beach", Corrimal Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Fishermans%20Beach", Fishermans Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=North%20Wollongong%20Beach", North Wollongong Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Port%20Kembla%20Beach", Port Kembla Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Seven%20Mile%20Beach%20(Gerroa)", Seven Mile Beach (Gerroa)
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Shellharbour%20Beach", Shellharbour Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Stanwell%20Park%20Beach", Stanwell Park Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Surf%20Beach%20(Kiama)", Surf Beach (Kiama)
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Thirroul%20Beach", Thirroul Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Warilla%20Beach", Warilla Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Werri%20Beach", Werri Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Wollongong%20City%20Beach", Wollongong City Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FIllawarraBulletin.xml&amp;title=Woonona%20Beach", Woonona Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Bar%20Beach%20(Newcastle)", Bar Beach (Newcastle)
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Blacksmiths%20Beach", Blacksmiths Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Box%20Beach", Box Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Burwood%20North%20Beach", Burwood North Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Burwood%20South%20Beach", Burwood South Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Caves%20Beach", Caves Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Dudley%20Beach", Dudley Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Fingal%20Bay", Fingal Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Glenrock%20Lagoon%20Beach", Glenrock Lagoon Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Merewether%20Beach", Merewether Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Newcastle%20Beach", Newcastle Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Nobbys%20Beach", Nobbys Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=One%20Mile%20Beach", One Mile Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Redhead%20Beach", Redhead Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=South%20Stockton%20Beach", South Stockton Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Swansea%20Heads%20Little%20Beach", Swansea Heads Little Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FHunterBulletin.xml&amp;title=Zenith%20Beach", Zenith Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Avoca%20Beach", Avoca Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Bateau%20Bay%20Beach", Bateau Bay Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Birdie%20Beach", Birdie Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Blue%20Bay", Blue Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Blue%20Lagoon", Blue Lagoon
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Budgewoi%20Beach", Budgewoi Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Cabbage%20Tree%20Bay", Cabbage Tree Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Copacabana%20Beach", Copacabana Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Forresters%20Beach", Forresters Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Frazer%20Beach", Frazer Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Gravelly%20Beach", Gravelly Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Hargraves%20Beach", Hargraves Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Jenny%20Dixon%20Beach", Jenny Dixon Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Killcare%20Beach", Killcare Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Lakes%20Beach", Lakes Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Lighthouse%20Beach%20(Norah%20Head)", Lighthouse Beach (Norah Head)
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=MacMasters%20Beach", MacMasters Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=North%20Avoca%20Beach", North Avoca Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=North%20Entrance", North Entrance
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Ocean%20Beach", Ocean Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Pearl%20Beach", Pearl Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Shelly%20Beach%20(Wyong)", Shelly Beach (Wyong)
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Soldiers%20Beach", Soldiers Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Terrigal%20Beach", Terrigal Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=The%20Entrance%20Beach", The Entrance Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=The%20Entrance%20Channel", The Entrance Channel
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Toowoon%20Bay", Toowoon Bay
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Umina%20Beach", Umina Beach
"http://www.environment.nsw.gov.au/Beachapp/SingleRss.aspx?surl=%2Fbeachapp%2FCentralcoastBulletin.xml&amp;title=Wamberal%20Beach", Wamberal Beach
